,X,Y,OBJECTID,ADDRTYPE,LOCATION,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,SDOT_COLCODE,ROADCOND
2,-122.3748995,47.66866614,3,Block,NW MARKET ST BETWEEN 14TH AVE NW AND 15TH AVE NW,1,Property Damage Only Collision,Sideswipe,4,0,0,3,0,0,0,2020-02-20 00:00:00+00:00,14.0,Dry
11,-122.3141674,47.6129174,12,Intersection,14TH AVE AND E UNION ST,2,Injury Collision,Pedestrian,2,1,0,1,1,0,0,2020-02-21 00:00:00+00:00,24.0,Dry
13,-122.2888644,47.55310035,14,Block,M L KING JR ER WAY S BETWEEN S BRANDON ST AND S LUCILE ST,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2020-02-23 00:00:00+00:00,14.0,Wet
16,-122.3555488,47.72414185,17,Block,GREENWOOD AVE N BETWEEN N 130TH ST AND N 132ND ST,2,Injury Collision,Rear Ended,2,0,0,2,2,0,0,2020-02-07 00:00:00+00:00,14.0,Wet
17,-122.3235006,47.58610117,18,Intersection,S HOLGATE BR AND S HOLGATE ST,1,Property Damage Only Collision,Right Turn,2,0,0,2,0,0,0,2020-02-23 00:00:00+00:00,11.0,Dry
23,-122.3195344,47.66603568,24,Block,8TH AVE NE BETWEEN NE 50TH ST AND NE 53RD ST,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2020-02-19 00:00:00+00:00,28.0,Dry
25,-122.3636233,47.62291347,26,Block,ELLIOTT AVE W BETWEEN W HARRISON ST AND 6TH AVE W,2,Injury Collision,Left Turn,4,0,0,2,1,0,0,2016-05-16 00:00:00+00:00,11.0,Dry
27,-122.3250149,47.61634483,28,Block,E OLIVE ST BETWEEN SUMMIT AVE AND BELMONT AVE,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020-02-13 00:00:00+00:00,11.0,Wet
32,-122.3290618,47.5705371,33,Block,4TH AVE S BETWEEN S SPOKANE SR ST AND W SEA BR EB 4 AV OFF RP,2,Injury Collision,Rear Ended,2,0,0,2,1,0,0,2020-02-16 00:00:00+00:00,14.0,Wet
33,,,34,,,0,Unknown,,0,0,0,0,0,0,0,2020-02-22 00:00:00+00:00,0.0,
40,-122.3554531,47.61860207,41,Intersection,1ST AVE AND DENNY WAY,1,Property Damage Only Collision,Right Turn,2,0,0,2,0,0,0,2020-02-19 00:00:00+00:00,11.0,Dry
43,-122.3143166,47.61995563,44,Intersection,14TH AVE E AND E JOHN ST,2,Injury Collision,Angles,5,0,0,4,2,0,0,2020-02-14 00:00:00+00:00,14.0,Dry
49,-122.3019368,47.63912048,50,Block,24TH AVE E BETWEEN E BOSTON ST AND E LYNN ST,1,Property Damage Only Collision,,2,0,0,0,0,0,0,2020-02-09 00:00:00+00:00,11.0,
52,-122.3126507,47.72664813,53,Intersection,15TH AVE NE AND NE 135TH ST,2,Injury Collision,Rear Ended,4,0,0,2,1,0,0,2020-02-12 00:00:00+00:00,14.0,Dry
55,-122.3875981,47.69057545,56,Intersection,24TH AVE NW AND NW 85TH ST,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2020-02-14 00:00:00+00:00,11.0,Dry
61,-122.2951499,47.71823749,62,Block,31ST AVE NE BETWEEN NE 123RD ST AND LAKE CITY WAY NE,2,Injury Collision,Other,1,0,0,1,1,0,0,2020-02-21 00:00:00+00:00,28.0,Dry
